contig	aln_nanopo_out	aln_pacbio_out	MD_3_S11_L001_R_out	SRR7135606_out	SRR7135607_out	SRR7135608_out	SRR7135612_out
opera_contig_127	0.00525594	0.937386	9.30079	2.4347	0.855015	0	70.7851
opera_contig_128	0.174979	2.60983	1.03068	5.83815	1.23999	0.00519626	82.2252
opera_contig_129	0	1.18626	10.4433	2.66648	1.16208	0	73.7524
opera_contig_130	0.318207	0.786294	16.5071	8.72782	9.17271	0.238103	12.2727
opera_contig_131	0.696646	0.601304	12.9272	8.70316	8.87668	0.33969	11.3469
opera_contig_132	0.570365	0.0054646	1.0717	19.9063	22.9952	2.67268	1.41175
opera_contig_133	47.0286	6.79996	0	791.875	819.269	8.02633	324.836
opera_contig_134	0.61727	1.51744	10.361	17.5761	11.4014	1.01867	21.5287
opera_contig_135	1.51205	0.919344	0.849839	31.3314	20.1902	0.392159	26.4471
opera_contig_136	0.0949476	2.11023	13.8678	16.1881	10.2277	1.06378	21.7264
opera_contig_137	0.415702	0.607645	13.9885	8.18844	8.74893	0.269584	11.2652
opera_contig_138	0.115808	2.7329	2.15662	5.89955	1.2075	0	89.1022
opera_contig_139	7.64997	9.27019	0.492527	309.473	280.36	8.71976	138.179
opera_contig_140	0.0172133	20.72	0.127283	0.910834	0.865671	0.0110705	277.295
opera_contig_141	2.23555	1.06884	0.0256117	43.1373	32.1525	1.99725	31.6731
opera_contig_142	0	0.637178	9.84924	2.36679	0.958793	0	70.5364
opera_contig_143	0.749197	0.124476	0.550075	21.6831	26.2397	3.11134	1.64133
opera_contig_144	0	0.656984	9.72166	2.48544	1.09201	0	72.5941
opera_contig_145	0.00600392	0.119719	21.7532	4.67036	2.57764	0.0617778	2.25638
opera_contig_146	0	0	21.1775	4.50092	2.73719	0.0518792	2.40475
opera_contig_147	0.427687	0.482528	14.4633	8.9057	8.86673	0.328547	11.4682
opera_contig_148	0	2.81913	0	5.67553	1.30662	0.0058941	81.6011
opera_contig_149	1.22797	1.24348	0.537698	20.3092	18.2709	0.313896	16.1969
opera_contig_150	0.620465	0	0.407103	20.7235	24.7835	2.99062	1.69844
opera_contig_151	0.0293114	0.0703449	21.1325	4.32879	2.53251	0.0740823	2.43106
opera_contig_152	0.107672	1.32218	9.9058	13.1526	9.97429	0.779767	20.7548
opera_contig_153	0	3.16246	0.891528	5.72378	1.28725	0.00652999	92.4189
opera_contig_154	0	0.0561419	20.3762	4.74649	1.97812	0.0312401	2.38065
opera_contig_155	0.0015005	0.082873	22.4802	4.92289	2.46575	0.0524513	2.19548
opera_contig_156	0	22.5508	0.166034	0.00652681	0	0	294.53
opera_contig_157	1.58389	1.21327	0.578673	38.3918	25.3459	0.645365	35.684
opera_contig_158	0	0.694236	10.2955	2.7408	0.963996	0	79.0693
opera_contig_159	0	0.62996	9.85386	2.29988	0.947536	0	63.5408
opera_contig_160	0	0.510776	9.90866	2.3632	1.0331	0.00690275	64.8598
opera_contig_161	0.637191	2.29136	0.365329	34.678	23.4766	0.53005	35.2763
opera_contig_162	0	2.37879	1.48118	5.20722	1.05832	0.00704672	76.6883
opera_contig_163	0	0.837067	9.38413	2.34302	0.956819	0	73.5695
opera_contig_164	0.382172	1.15408	0.736628	4.02153	1.13328	0	24.5721
opera_contig_165	0.192969	0.461588	5.10485	8.79811	8.17199	0.331768	11.7513
opera_contig_166	0	0.6903	9.98906	2.46963	0.904033	0	71.8335
opera_contig_167	0	1.89513	0.0270112	0	0	0	34.2906
opera_contig_168	0	0.745895	10.269	2.38176	1.17522	0.00177001	71.2705
opera_contig_169	0	2.42056	0.583714	5.00844	0.978486	0.00695845	73.9613
opera_contig_170	0	0.881849	9.22989	2.02406	0.957227	0	68.7898
opera_contig_171	0.384387	0.0454115	0.449187	21.6105	26.1387	3.10367	1.77412
opera_contig_172	0	1.18587	9.74871	2.80408	1.18553	0	78.986
opera_contig_173	0	1.03261	11.6207	16.2756	10.6864	0.942283	22.0917
opera_contig_174	0.162304	0.160162	21.8837	4.82462	2.21258	0.0278693	2.11242
opera_contig_175	0	3.27229	1.58444	5.341	1.16634	0	79.6054
opera_contig_176	3.286	10.7257	1.7986	26.0197	28.289	0.115776	118.347
opera_contig_177	0.0756839	0.305849	21.9106	4.34582	2.58445	0.0517745	2.71901
opera_contig_178	1.4018	1.1814	0	18.3066	13.3207	1.61413	18.6945
opera_contig_179	0.179149	2.46007	1.13362	5.03763	1.02233	0.00794624	72.0733
opera_contig_180	0.01214	3.97377	0.00415228	4.93897	1.1259	0	78.4234
opera_contig_181	0	0.047801	22.9406	4.09574	2.27836	0.0501131	2.25038
opera_contig_182	0	0.039946	20.8855	4.14404	2.22361	0.0795676	2.49363
opera_contig_183	0.467681	1.12564	15.3089	16.408	9.46439	1.04984	20.5647
opera_contig_184	0	1.10896	13.7194	2.18428	0.693264	0.166106	77.293
opera_contig_185	19.7919	64.5222	113.44	434.131	347.954	258.856	1150.48
opera_contig_186	0	0.24983	21.2676	4.72287	2.53344	0.0868206	2.21739
opera_contig_187	1.33068	9.75893	2.09003	32.6032	35.3186	0.296454	121.913
opera_contig_188	0	0.424544	8.76163	2.28619	0.768272	0	71.4875
opera_contig_189	0.0580588	1.07506	14.4705	16.1826	9.27222	1.27995	21.3215
opera_contig_190	4.91548	0.196403	0	27.9661	22.1217	5.3324	2.57568
opera_contig_191	0.312793	0.0222931	21.2068	4.2737	2.09875	0.0249668	2.00882
opera_contig_192	0.0985253	3.42571	0	5.20977	1.5233	0.00890504	86.4271
opera_contig_193	0.0127227	0.205684	21.1112	4.4018	2.53984	0.0180872	2.42253
opera_contig_194	0.302481	0	1.36034	20.7879	24.3008	2.99287	1.58322
opera_contig_195	0.122024	2.49611	1.33188	5.02969	1.20977	0	77.0578
opera_contig_196	0	17.9525	0.0707448	0.00896894	0	0	260.807
opera_contig_197	0	1.17768	5.54452	16.1912	10.2708	1.00086	21.4815
opera_contig_198	0.0823757	0.00664825	0.0550092	3.8249	3.45455	0.175635	0.0828545
opera_contig_199	0.419019	0.56967	13.4806	16.3782	10.481	0.919093	20.4592
opera_contig_200	0.273564	0.926757	16.2828	16.9324	11.3865	1.18281	21.7273
opera_contig_201	0.123635	0.248675	20.212	4.47396	2.00749	0.098489	2.30724
opera_contig_202	0.53399	0.856614	13.4494	17.0034	10.5145	1.17914	20.5673
opera_contig_203	0	0.241715	21.5053	4.60955	2.90729	0.0627211	2.45589
opera_contig_204	0.110345	0.0173506	21.0768	4.78727	2.65411	0.0570755	2.48802
opera_contig_205	0.245137	0.201732	22.1096	4.669	2.4054	0.0290018	2.95524
opera_contig_206	0	0.00939315	20.7208	4.50976	2.7009	0.055443	2.44487
opera_contig_207	0.196264	0.0654215	20.5251	4.78023	2.80692	0.0461177	2.49937
opera_contig_208	0	0	21.097	4.51891	2.40812	0.0390843	2.32311
opera_contig_209	0	0.286139	21.857	4.7513	2.70428	0.0455546	2.5012
opera_contig_210	0	0.0837684	22.0402	4.36493	1.98577	0.0479187	2.3473
opera_contig_211	0.0124965	0.210371	21.8978	4.76318	2.60517	0.0380467	2.57878
opera_contig_212	0.0357708	0.0656532	20.9902	5.01979	2.81281	0.0388752	2.51621
opera_contig_213	0.0243122	0.230604	21.514	4.60946	2.41254	0.0776259	2.24884
opera_contig_214	0	0.139302	22.1017	4.56336	2.56397	0.0304057	2.62527
opera_contig_215	0.261808	0	0.399165	22.0645	27.0162	3.40532	1.87539
opera_contig_216	0	1.40782	9.65934	2.0129	0.923553	0	73.6993
opera_contig_217	0.00503276	1.5859	0.0102299	2.07777	1.51829	0.0180769	33.4661
opera_contig_218	0.052029	0.154425	21.9939	4.57049	2.69662	0.0418892	2.51377
opera_contig_219	0	0.217958	21.251	4.75085	2.70582	0.142428	2.31399
opera_contig_220	2.71023	0.210826	0.127202	43.8273	53.0861	6.91182	2.51075
opera_contig_221	0.146935	0.746914	17.7157	16.7674	8.959	0.892103	21.8327
opera_contig_222	0.29449	0	0.503591	21.5015	26.148	2.84955	1.5883
opera_contig_223	0.30301	0	1.35394	21.4555	25.6862	3.04418	1.69368
opera_contig_224	19.5867	87.4751	160.053	618.901	410.431	929.151	1551.33
opera_contig_225	0	1.49592	17.0114	17.6658	11.0566	0.956677	23.4538
opera_contig_226	0.0926384	0.360309	10.6976	3.88558	4.39168	0.17072	3.97273
opera_contig_227	0	0.846056	9.54731	2.04747	0.828764	0	64.6619
opera_contig_228	0.145977	0.0392075	0.509587	40.8139	47.5268	5.38655	0.900363
opera_contig_229	0	0	21.6313	4.47963	2.12567	0.0537336	2.46271
opera_contig_230	0.648324	0.0153528	0.525929	22.105	27.4155	3.61126	1.97575
opera_contig_231	1.23619	0.686263	0.50589	21.3107	17.9344	0.361289	16.8076
opera_contig_232	1.10579	3.23851	0.931154	70.6416	49.089	0.999977	70.1885
opera_contig_233	0	0	22.0869	4.76249	2.62617	0.0453644	2.25698
opera_contig_234	0	0.305268	21.8514	4.21859	2.60885	0.0732041	2.47526
opera_contig_235	0.0996314	0	21.7538	4.63517	2.43598	0.0521508	2.23124
opera_contig_236	0	3.03293	0	10.7095	2.68877	0.00571429	155.181
opera_contig_237	0	0.776561	11.0119	2.2233	0.925835	0	59.2255
opera_contig_238	0.784918	1.96366	0.681492	36.6839	34.4549	0.743803	29.3348
opera_contig_239	0.199404	0.881084	15.8391	16.5428	9.9412	0.962393	22.1897
opera_contig_240	0	1.47234	0	5.37893	1.2957	0.0114535	85.4789
opera_contig_241	0	1.41485	0.0118467	0	0	0.00118467	33.832
opera_contig_242	11.2167	31.1157	0.0889867	329.564	289.351	6.29952	383.719
opera_contig_243	18.2944	56.6532	107.266	430.096	323.368	669.375	1087.61
opera_contig_244	0.618948	0.369476	14.9599	8.31045	9.4757	0.417843	12.0323
opera_contig_245	0	2.18518	0.217635	0	0	0	36.5877
opera_contig_246	0.320542	0.606357	0.396091	27.0589	23.1305	0.474531	20.4218
opera_contig_247	0	1.05664	0	0	0	0	31.8304
opera_contig_248	0	22.6076	0.0814176	0.0792318	0.0488506	0	267.076
opera_contig_249	0.382311	1.93382	2.25885	5.99415	1.42338	0.0122874	86.8113
opera_contig_250	0.146999	1.04534	12.9173	15.8275	9.92081	0.811278	21.1533
opera_contig_251	0	0.424316	9.56406	1.93445	0.795024	0	66.265
opera_contig_252	1.86909	0.552318	0.876401	35.8515	34.2844	0.49721	29.6113
opera_contig_253	0	0.511287	21.6426	4.4674	2.15104	0.0465842	2.35493
opera_contig_254	3.12262	0.373405	0.0562478	27.5123	21.4335	4.8983	3.06856
opera_contig_255	0.92476	1.47897	0.639248	32.7083	25.8105	0.495514	35.3474
opera_contig_256	0	1.70559	0.0186433	0	0	0	33.1393
opera_contig_257	0.217572	0	0.478939	20.8484	24.4907	3.08741	1.41186
opera_contig_258	0.188805	0	0.0176004	3.78732	3.68614	0.256706	0.00660017
opera_contig_259	12.7821	50.7519	90.8174	344.256	279.722	663.621	877.972
opera_contig_260	0	0.209331	0.0253219	10.4267	0.0506946	0.0357351	14.3436
opera_contig_261	0.192898	1.25156	18.652	16.6325	10.2013	0.887449	22.3319
opera_contig_262	0.411392	0.159161	14.9055	8.2903	8.47418	0.308989	12.0868
opera_contig_263	0.462233	1.21821	4.52141	14.9668	9.69256	0.753407	20.0917
opera_contig_264	0.441878	1.20313	13.7528	12.8494	9.07479	1.31282	21.0507
opera_contig_265	5.71861	0	0	27.6169	21.2496	3.44761	2.83848
opera_contig_266	1.4681	0.182451	20.8704	4.29598	2.06035	0.025968	2.29227
opera_contig_267	0	2.65401	0.0517778	0	0	0	31.7948
opera_contig_268	0.213946	0.864103	19.0721	17.6667	10.3733	1.04747	21.4265
opera_contig_269	1.46676	0.0904106	22.0865	4.76453	2.26663	0.0469854	2.47557
opera_contig_270	0.0476122	0	0.0110778	1.6667	1.4296	0.0365566	0.0456625
opera_contig_271	0.319194	0.0867743	0.297815	22.4352	26.6274	3.07153	1.55869
opera_contig_272	0.552381	0.141535	16.067	8.93429	9.54106	0.325322	11.8022
opera_contig_273	0	1.5699	9.43842	2.19867	1.08865	0	70.0313
opera_contig_274	0	1.97533	0.0125384	0	0	0	31.6102
opera_contig_275	0	2.49657	0.00789411	0	0	0	30.3893
opera_contig_276	0	0.743118	19.7039	16.6659	10.5168	1.01894	21.3162
opera_contig_277	0.369322	0.736956	22.482	4.8468	2.38653	0.0381328	2.29791
opera_contig_278	0	0.222315	20.8469	4.22903	2.22849	0.0781246	2.33443
opera_contig_279	0.399025	1.30505	17.4373	17.2909	10.1125	1.12695	22.0775
opera_contig_280	0.136249	1.57191	10.3117	2.38843	1.08741	0	73.2949
opera_contig_281	0.426984	0.738936	5.0388	8.31362	8.29912	0.308796	11.6515
opera_contig_282	0.0345687	2.80722	2.4552	5.78851	1.16789	0.0136138	86.2134
opera_contig_283	0	1.05384	9.87861	2.66214	1.03398	0	71.4484
opera_contig_284	0	2.30533	0.384176	0	0	0	33.6893
opera_contig_285	0	0.827915	9.58747	2.24826	1.01733	0	71.2887
opera_contig_286	1.79834	13.1308	0.628934	33.0785	32.9851	0.125077	135.071
opera_contig_287	0	0.796423	9.79092	2.34836	1.00612	0	76.32
opera_contig_288	0.0581599	1.57187	14.5566	16.2231	10.5765	1.21089	21.5832
opera_contig_289	0	0.319287	0.0283583	9.13459	0.02833	0.0270539	13.3529
opera_contig_290	9.43233	36.9934	76.7265	283.729	203.625	489.425	766.745
opera_contig_291	0	0.0329436	21.3321	4.52046	2.43965	0.0707678	2.70249
